ticker,name,exchange,industry,sector,MarketCap,InternalOwnership,ExternalOwnership,StateOwnership,AvgValue20P
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,HNX,"Dụng cụ, dịch vụ & Phân phối Dầu",Dầu khí,6500341544000,0.073,99.927,60.98,63963731710
PVT,Tổng Công ty Cổ phần Vận tải dầu khí,HOSE,Giao thông công nghiệp,Hàng hóa và dịch vụ công nghiệp,3912018251800,0.057,99.943,51,28957045625
PVX,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,UPCOM,Xây dựng & Vật liệu,Xây dựng & Vật liệu,639995246400,0.014,99.986,56.85,1243198920
PWA,Công ty Cổ phần Bất động sản Dầu khí,UPCOM,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,103010000000,0.051,99.949,0,1479677315
QCG,Công ty Cổ phần Quốc Cường Gia Lai ,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,1615008057670,59.273,40.727,0,1471868910
QNS,Công Ty Cổ Phần Đường Quảng Ngãi,UPCOM,Sản xuất thực phẩm,Thực phẩm & Đồ uống,11251461261510,16.593,83.407,0,5092619565
RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông ,HOSE,Dụng cụ điện & Điện tử,Hàng hóa và dịch vụ công nghiệp,1470850000000,28.336,71.664,0,1322673750
REE,Công ty Cổ phần Cơ điện lạnh,HOSE,"Ga, nước & dịch vụ công cộng gia dụng",Dịch vụ tiện ích,12991133799400,20.925,79.075,5.27,17341269725
ROS,Công ty cổ phần Xây dựng FLC Faros,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,1265743809830,0.214,99.786,0,16666617280
S99,Công ty Cổ phần SCI,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,933195669400,12.208,87.792,0,2154979530
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,HOSE,Đồ uống,Thực phẩm & Đồ uống,118957660003000,0,100,36,21139466250
SAM,Công ty Cổ phần SAM HOLDINGS,HOSE,Dụng cụ & công nghệ phần cứng,Công nghệ,2539394946000,0,100,0,1471676925
SAV,Công ty Cổ phần Hợp tác kinh tế và Xuất nhập khẩu SAVIMEX,HOSE,Hàng gia dụng,Đồ dùng cá nhân và đồ gia dụng,227265360000,1.712,98.288,0,1219257200
SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,9006467473200,32.107,67.893,0,55349776625
SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,2271409078600,1.698,98.302,0,10753447060
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,HOSE,Giao thông công nghiệp,Hàng hóa và dịch vụ công nghiệp,5982918030000,3.411,96.589,12.51,4120639300
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội ,HNX,Ngân hàng,Ngân hàng,28085391040000,6.929,93.071,4.64,48608598885
SHI,Công ty Cổ phần Quốc tế Sơn Hà,HOSE,Hàng gia dụng,Đồ dùng cá nhân và đồ gia dụng,749817087010,15.978,84.022,0,6007857675
SHS,Công ty Cổ phần Chứng khoán Sài Gòn Hà Nội ,HNX,Dịch vụ tài chính,Dịch vụ tài chính,2735940253200,3.26,96.74,2.11,40919783135
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,UPCOM,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,7863115476925,24.015,75.985,0,5255223690
SJD,Công ty Cổ phần Thủy Điện Cần Đơn,HOSE,Điện lực,Dịch vụ tiện ích,1269574608000,0.026,99.974,50.96,1517786375
SJF,Công Ty Cổ phần Đầu tư Sao Thái Dương,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,170280000000,9.472,90.528,0,2311835415
SJS,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,2744929268000,9.072,90.928,44.16,1953141000
SKG,Công ty Cổ phần Tàu cao tốc Superdong – Kiên Giang ,HOSE,Giao thông công nghiệp,Hàng hóa và dịch vụ công nghiệp,600384847800,32.903,67.097,0,1001469420
SLS,Công ty Cổ phần Mía đường Sơn La ,HNX,Sản xuất thực phẩm,Thực phẩm & Đồ uống,554224087000,33.906,66.094,0,1514005240
SMC,Công ty Cổ phần đầu tư thương mại SMC ,HOSE,Kim loại công nghiệp,Tài nguyên,718890703800,26.1,73.9,0,2613919775
SRA,Công ty Cổ phần Sara Việt Nam ,HNX,Phần mềm & Dịch vụ máy tính,Công nghệ,279000000000,8.41,91.59,0,6425742875
SSI,Công ty Cổ phần chứng khoán SSI,HOSE,Dịch vụ tài chính,Dịch vụ tài chính,10516386055000,3.882,96.118,0,86415309550
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,HOSE,Ngân hàng,Ngân hàng,24619869305850,4.059,95.941,0,236555053200
STH,Công ty cổ phần phát hành sách Thái Nguyên,UPCOM,Bán lẻ,Dịch vụ bán lẻ,288600000000,35.923,64.077,0,1077985605
STK,Công ty Cổ phần Sợi thế kỷ ,HOSE,Hóa chất,Hóa chất,1227335292000,36.76,63.24,0,2357631600
SZC,Công ty cổ phần Sonadezi Châu Đức,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,2575000000000,2.235,97.765,2.8,24342302500
SZL,Công ty Cổ phần Sonadezi Long Thành,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,878620470000,0.325,99.675,56.85,1149664300
TAR,Công ty cổ phần Nông nghiệp Công nghệ cao Trung An,HNX,Sản xuất thực phẩm,Thực phẩm & Đồ uống,869399523900,50.573,49.427,0,8935628345
TCB,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,HOSE,Ngân hàng,Ngân hàng,77528100158300,21.919,78.081,0.03,592617393725
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,6641505403200,49.381,50.619,0,224484927450
